          450   0.385634E-03   0.506533E-03   0.700780E-03   0.709791E-03   0.256295E-02   0.336645E-02   0.255234E-02   0.271393E-02
          455   0.408832E-03   0.537002E-03   0.712387E-03   0.670788E-03   0.284303E-02   0.373434E-02   0.286625E-02   0.307867E-02
          460   0.431640E-03   0.566962E-03   0.718673E-03   0.631392E-03   0.302022E-02   0.396708E-02   0.311834E-02   0.333304E-02
          465   0.462633E-03   0.607671E-03   0.725848E-03   0.614748E-03   0.307688E-02   0.404150E-02   0.321223E-02   0.346812E-02
          470   0.490068E-03   0.643707E-03   0.733910E-03   0.625797E-03   0.299639E-02   0.393577E-02   0.310176E-02   0.347083E-02
          475   0.514546E-03   0.675858E-03   0.740190E-03   0.634165E-03   0.277799E-02   0.364891E-02   0.278295E-02   0.332617E-02
          480   0.537979E-03   0.706639E-03   0.748040E-03   0.621466E-03   0.245499E-02   0.322464E-02   0.244763E-02   0.303572E-02
          485   0.567536E-03   0.745462E-03   0.761684E-03   0.586961E-03   0.210162E-02   0.276049E-02   0.252501E-02   0.264001E-02
          490   0.597705E-03   0.785089E-03   0.781880E-03   0.545315E-03   0.205723E-02   0.270218E-02   0.277416E-02   0.251549E-02
          495   0.623920E-03   0.819522E-03   0.804898E-03   0.510436E-03   0.209089E-02   0.274640E-02   0.283484E-02   0.244767E-02
          500   0.644558E-03   0.846629E-03   0.823982E-03   0.478592E-03   0.203537E-02   0.267347E-02   0.269115E-02   0.239685E-02
          505   0.659593E-03   0.866379E-03   0.836504E-03   0.452399E-03   0.207390E-02   0.272408E-02   0.245203E-02   0.236219E-02
          510   0.668991E-03   0.878723E-03   0.841779E-03   0.427613E-03   0.244456E-02   0.321095E-02   0.249260E-02   0.234250E-02
          515   0.670991E-03   0.881350E-03   0.839732E-03   0.416556E-03   0.277245E-02   0.364162E-02   0.267708E-02   0.280202E-02
          520   0.663503E-03   0.871514E-03   0.826452E-03   0.437977E-03   0.293760E-02   0.385855E-02   0.281143E-02   0.318720E-02
          525   0.644016E-03   0.845919E-03   0.799022E-03   0.478637E-03   0.288362E-02   0.378764E-02   0.266996E-02   0.335632E-02
